renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,renovation_cost,pre_renovation_cost,post_renovation_value,location
"[""Living room"", ""Other/Custom""]",0,0,631,301.0,budget-friendly,1,3164,77840.83,612767.37,645311.12955,453214.30405612406
"[""Bathroom"", ""Kitchen""]",0,1,566,452.0,budget-friendly,1,1955,86312.77,525660.74,583741.561175,589379.4798394532
"[""Bathroom"", ""Living room""]",0,1,579,0.0,high-end,0,4081,82065.58,1186498.0,1248559.0895500001,918049.8174818624
"[""Living room"", ""Kitchen""]",0,0,784,0.0,high-end,0,3149,87851.59,798859.03,863139.824125,864290.96920644
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,761,159.48951048951048,mid-range,1,1129,93861.9,253109.34,294535.0683,259110.37473145
"[""Full renovation""]",6,5,3393,301.0,budget-friendly,1,3393,438965.1699999999,655643.83,783494.3768499999,764427.3883938657
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",3,1,1231,301.0,high-end,1,1995,219875.15,522067.67,608969.2487,590999.7312847051
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1104,0.0,high-end,0,3180,130946.39,609821.84,679821.39955,749690.1337423729
"[""Bathroom"", ""Kitchen""]",0,1,484,0.0,budget-friendly,0,4098,74134.98,1026896.95,1111307.2733500001,884761.8567269483
"[""Living room"", ""Other/Custom""]",0,0,879,0.0,mid-range,0,4192,78729.42,1271033.55,1314898.82055,910626.421425757
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,2,1630,473.0,mid-range,1,2046,300622.26,292674.19,348491.3390928572,333612.3852677651
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,1,395,0.0,mid-range,0,859,70030.53,275519.48,305844.68134999997,359371.8741154736
"[""Bathroom"", ""Living room""]",0,1,379,0.0,mid-range,0,1347,52855.34,408948.56,437866.4489,910626.421425757
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1210,602.0,mid-range,1,2087,144056.59999999998,561227.7,632581.0584999999,480164.60953967203
"[""Bedroom"", ""Living room""]",2,0,759,0.0,mid-range,0,1408,77891.33,479000.38,510331.6979999999,551406.6991672434
"[""Bedroom"", ""Other/Custom""]",3,0,1304,0.0,budget-friendly,0,1781,151955.58000000002,354924.98,406975.19554999995,440857.28859962634
"[""Bedroom"", ""Bathroom""]",3,2,1110,322.0,budget-friendly,1,1837,192867.54,477353.8,550113.27862,590999.7312847051
"[""Bathroom"", ""Living room""]",0,1,392,199.87412587412587,mid-range,1,1404,59056.28,476079.97,508965.0973,515996.1562416109
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,1,431,0.0,high-end,0,816,73885.91,251913.88,283484.21715,362556.9047908152
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,1,435,231.73208722741435,mid-range,1,940,69256.5,312434.88,343277.4414,360382.72442315845
"[""Bathroom"", ""Kitchen""]",0,1,393,0.0,budget-friendly,0,1430,49906.97,488525.97,532809.6192,512787.1344803147
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,2,1815,0.0,mid-range,0,2089,273809.19000000006,432657.16,513780.37749999994,460825.5934515108
"[""Bathroom"", ""Other/Custom""]",0,1,503,0.0,mid-range,0,3641,77393.64,499493.52,538857.3222,583628.098793705
"[""Bedroom"", ""Other/Custom""]",3,0,1270,322.0,budget-friendly,1,1854,157349.76,541034.24,597534.8047999999,729059.2861618154
"[""Living room"", ""Other/Custom""]",0,0,834,0.0,high-end,0,2152,86189.6,629208.72,667089.4187999999,724209.6059686558
"[""Bathroom"", ""Kitchen""]",0,1,287,85.25233644859813,high-end,1,1064,54786.64,269600.98,303445.7302,258538.89048027052
"[""Full renovation""]",4,2,2287,301.0,budget-friendly,1,2287,267190.63999999996,438028.24,523443.7467999999,440857.28859962634
"[""Kitchen"", ""Other/Custom""]",0,0,767,0.0,mid-range,0,1693,83643.54000000001,474782.48,522495.4067,718133.5629715051
"[""Bedroom"", ""Bathroom""]",8,4,2830,644.0,mid-range,1,4131,498652.63,523802.16,622669.8176999999,583628.098793705
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,2,1403,301.0,mid-range,1,1603,246568.11,337102.54,410843.72062499996,455750.6403917306
"[""Full renovation""]",2,1,1564,0.0,high-end,0,1564,140108.05,447941.16,514334.1686999999,724209.6059686558
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,1057,0.0,mid-range,0,1680,151756.63,543655.89,607768.90515,474032.3731833224
"[""Living room"", ""Kitchen""]",0,0,809,0.0,budget-friendly,0,2020,73874.43,525641.51,571457.70695,590999.7312847051
"[""Living room"", ""Kitchen""]",0,0,673,0.0,budget-friendly,0,2952,75143.85,546968.73,594689.0567249999,636523.1519029945
"[""Bedroom"", ""Other/Custom""]",4,0,1531,644.0,mid-range,1,2034,206653.6,552181.25,625559.85275,468125.1879910406
"[""Bedroom"", ""Bathroom""]",2,1,531,0.0,mid-range,0,1102,80685.56,260068.87,292883.4597,258778.52985726285
"[""Living room"", ""Other/Custom""]",0,0,844,0.0,high-end,0,1539,58918.05,413330.71,438531.741775,611135.9710193529
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1264,602.0,mid-range,1,6047,126711.11,2059928.08,2191905.2877,2500823.911981166
"[""Bedroom"", ""Kitchen""]",5,0,1880,644.0,mid-range,1,2531,248520.81000000003,726291.67,836016.24625,729059.2861618154
"[""Bedroom"", ""Living room""]",3,0,1154,0.0,high-end,0,1946,165897.48,397696.2,457163.5803,441299.58650862484
"[""Bathroom"", ""Living room""]",0,1,450,0.0,budget-friendly,0,2419,73663.54999999999,677468.15,720443.736125,715063.674403916
"[""Living room"", ""Kitchen""]",0,0,760,301.0,budget-friendly,1,1829,82048.88,532211.64,581391.1944,715063.674403916
"[""Bedroom"", ""Kitchen""]",4,0,1585,0.0,budget-friendly,0,2361,184821.88,673079.3,759923.36378,918049.8174818624
"[""Bedroom"", ""Kitchen""]",7,0,2316,966.0,mid-range,1,3515,330029.92000000004,486150.8,583684.80425,584356.9210885423
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1246,0.0,budget-friendly,0,3533,110149.46,678313.87,742433.5794499998,768381.9144879236
"[""Bedroom"", ""Kitchen""]",5,0,1725,322.0,mid-range,1,3044,252426.89,750037.61,864565.9072499999,611135.9710193529
"[""Kitchen"", ""Other/Custom""]",0,0,779,301.0,budget-friendly,1,3915,77840.83,498413.36,544194.2101999999,585322.9444696801
"[""Kitchen"", ""Other/Custom""]",0,0,552,179.9020979020979,high-end,1,1268,68667.1,433704.66,475881.51269999996,517533.77259986603
"[""Bedroom"", ""Kitchen""]",6,0,1977,966.0,mid-range,1,3513,303917.82,482107.98,580251.3902142857,584356.9210885423
"[""Bathroom"", ""Kitchen""]",0,1,192,150.75862068965517,budget-friendly,1,496,43787.619999999995,198015.84,223361.48355,562615.8913025274
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",6,5,2811,624.0,mid-range,1,3255,493679.68,828940.84,983331.0714499999,611849.4788960892
"[""Bathroom"", ""Living room""]",0,1,513,151.0,budget-friendly,1,3460,75969.17,667376.36,710758.1705749999,768096.9796926685
"[""Bedroom"", ""Kitchen""]",3,0,1306,322.0,mid-range,1,1762,164652.91,581466.11,659497.7516,515996.1562416109
"[""Bathroom"", ""Other/Custom""]",0,1,487,301.0,budget-friendly,1,3796,81970.57,485700.41,525477.3725749999,583917.6428237398
"[""Bedroom"", ""Living room""]",6,0,2173,644.0,mid-range,1,3242,286982.53,962215.98,1066433.7540857142,910855.3220634278
"[""Bathroom"", ""Living room""]",0,1,456,151.0,mid-range,1,1509,55694.06,461576.42,492967.3415,471878.99087377987
"[""Bathroom"", ""Living room""]",0,1,577,151.0,mid-range,1,1768,81215.65,459947.49,499328.84445,421138.5496460387
"[""Bedroom"", ""Bathroom""]",2,1,674,473.0,high-end,1,1539,107307.97,462186.22,510926.89685,729059.2861618154
"[""Kitchen"", ""Other/Custom""]",0,0,647,0.0,high-end,0,4648,82930.94,1130646.67,1208270.9982999999,857843.3948752978
"[""Bedroom"", ""Kitchen""]",2,0,679,0.0,mid-range,0,1178,83457.94,266744.89,305037.66115,259110.37473145
"[""Bedroom"", ""Bathroom""]",6,3,2103,0.0,mid-range,0,3117,362997.52,614789.19,731086.811775,455750.6403917306
"[""Bathroom"", ""Other/Custom""]",0,1,520,0.0,high-end,0,2278,89244.17000000001,597335.3,644705.9351000001,599125.9764701508
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",6,4,2706,473.0,mid-range,1,3893,451895.34,1165727.56,1378634.466618182,910855.3220634278
"[""Living room"", ""Other/Custom""]",0,0,726,301.0,high-end,1,1774,90766.53,554666.5,592258.703425,517533.77259986603
"[""Bedroom"", ""Living room""]",7,0,2423,644.0,mid-range,1,3670,335283.59,468248.73,549460.6191093749,583628.098793705
"[""Bedroom"", ""Bathroom"", ""Living room""]",5,2,2061,623.0,mid-range,1,3149,323612.0,627382.18,743839.9971625,764427.3883938657
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,623,0.0,mid-range,0,1067,99574.53,216883.0,255128.87143749997,455750.6403917306
"[""Bathroom"", ""Living room""]",0,1,443,301.0,budget-friendly,1,6744,76983.01,2359094.27,2452962.0011000005,2492746.2538584336
"[""Bedroom"", ""Bathroom""]",2,1,0,0.0,mid-range,0,1507,84193.92,362986.81,400397.4991,891671.9944522413
"[""Bathroom"", ""Other/Custom""]",0,1,484,0.0,high-end,0,2171,89244.17000000001,553130.04,599174.5173000001,590999.7312847051
"[""Kitchen"", ""Other/Custom""]",0,0,820,0.0,mid-range,0,6713,78375.47,2351277.64,2481773.4068500004,2500823.911981166
"[""Bedroom"", ""Bathroom""]",3,1,1002,644.0,mid-range,1,1641,179885.45,418068.36,487948.8979875,607003.9708666095
"[""Bedroom"", ""Bathroom""]",6,3,2073,322.0,mid-range,1,3863,359987.29,1108375.75,1255023.01885,910626.421425757
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,1,1304,774.0,mid-range,1,1741,210945.68,528640.04,610314.29336,518778.0673718569
"[""Bedroom"", ""Living room""]",3,0,1169,644.0,mid-range,1,2045,174380.57,546024.93,609799.1106375001,480164.60953967203
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,809,0.0,budget-friendly,0,1149,101235.72,294428.05,334011.24145,420882.7322267811
"[""Bedroom"", ""Living room""]",2,0,913,644.0,high-end,1,1641,141967.17,498716.73,552336.8111999999,910855.3220634278
"[""Bathroom"", ""Living room""]",0,1,259,70.11214953271028,mid-range,1,821,44373.85,249613.02,271079.17335,420882.7322267811
"[""Bathroom"", ""Kitchen""]",0,1,488,151.0,mid-range,1,1907,81696.5,465126.08,518768.0423000001,611135.9710193529
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,3,1854,0.0,mid-range,0,2272,319120.91,432348.21,513413.499375,438354.1998740959
"[""Bathroom"", ""Living room""]",0,1,506,0.0,high-end,0,1759,89244.17000000001,446294.04,489133.43730000005,422600.3971445641
"[""Living room"", ""Other/Custom""]",0,0,707,0.0,mid-range,0,2723,78729.42,789581.06,826224.5432,718133.5629715051
"[""Bedroom"", ""Other/Custom""]",3,0,1138,322.0,high-end,1,1688,173226.04000000004,324186.09,381323.88836249994,440857.28859962634
"[""Bedroom"", ""Kitchen""]",2,0,718,206.41724941724942,mid-range,1,1302,86223.26,405661.06,451507.2509,517533.77259986603
"[""Bathroom"", ""Living room""]",0,1,538,301.0,high-end,1,1604,90846.33,546268.19,591954.1771249999,562615.8913025274
"[""Bedroom"", ""Bathroom""]",2,1,586,0.0,mid-range,0,1392,78521.91,433451.45,470796.78560000006,474953.67957478453
"[""Bedroom"", ""Bathroom""]",1,1,174,0.0,budget-friendly,0,443,41400.91,171366.23,189237.99672500003,467907.5515662078
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",3,1,1418,623.0,mid-range,1,2020,207571.18,538025.95,618306.22312,420882.7322267811
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,860,318.4498834498835,budget-friendly,1,1373,108901.37,371810.86,427606.682875,421138.5496460387
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1146,903.0,high-end,1,2649,160763.4,686129.34,769253.2653,593131.0463311035
"[""Bedroom"", ""Other/Custom""]",4,0,1480,0.0,mid-range,0,2084,199597.72,631143.9,704083.1334599999,729059.2861618154
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,2,1549,322.0,budget-friendly,1,1686,231300.7,539720.64,627037.2244500001,517533.77259986603
"[""Bathroom"", ""Other/Custom""]",0,1,479,151.0,budget-friendly,1,2161,75351.88,587494.57,628290.1102,476497.9429147776
"[""Bathroom"", ""Living room""]",0,1,497,0.0,high-end,0,2869,89244.17000000001,731758.28,783161.6045,599125.9764701508
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,1,350,66.62305295950156,mid-range,1,765,65914.14,209708.17,236432.79850000003,420882.7322267811
"[""Full renovation""]",2,1,1173,0.0,high-end,0,1173,138059.08,300774.9,359869.2669,420882.7322267811
"[""Bedroom"", ""Other/Custom""]",3,0,1323,0.0,budget-friendly,0,1843,151955.58000000002,501455.36,555703.53125,590999.7312847051
"[""Bathroom"", ""Other/Custom""]",0,1,504,0.0,budget-friendly,0,3501,73663.54999999999,449482.23,485618.23852500005,583917.6428237398
"[""Bathroom"", ""Living room""]",0,1,508,0.0,mid-range,0,2788,81306.03,417398.56,455531.91624999995,337972.4055670806
"[""Bedroom"", ""Living room""]",7,0,2399,322.0,mid-range,1,3566,329109.39,713151.82,828752.7153624999,768381.9144879236
"[""Bedroom"", ""Kitchen""]",3,0,1138,0.0,mid-range,0,1825,155178.64,470233.1,539692.9411999999,588676.7985449556
"[""Kitchen"", ""Other/Custom""]",0,0,777,0.0,mid-range,0,2045,79200.85,513252.04,561296.64955,891671.9944522413
"[""Bathroom"", ""Other/Custom""]",0,1,193,107.60079575596816,mid-range,1,747,44373.85,214173.59,234576.56045000002,422600.3971445641
"[""Full renovation""]",6,3,3887,0.0,budget-friendly,0,3887,365177.96,900232.43,1050296.27735,898392.8709650495
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,599,0.0,mid-range,0,988,95100.28,306524.86,354872.9398,360382.72442315845
"[""Bathroom"", ""Living room""]",0,1,394,0.0,budget-friendly,0,1420,49225.1,430066.82,457736.3546,471878.99087377987
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,1156,473.0,high-end,1,1696,188153.25,537684.69,630625.1945249999,517533.77259986603
"[""Living room"", ""Other/Custom""]",0,0,801,0.0,mid-range,0,1655,78729.42,334578.03,364396.46775,440857.28859962634
"[""Bathroom"", ""Other/Custom""]",0,1,556,301.0,budget-friendly,1,1908,83921.66,495809.74,536489.94265,420882.7322267811
"[""Living room"", ""Other/Custom""]",0,0,641,0.0,budget-friendly,0,3081,74521.37,581429.89,613066.659625,768096.9796926685
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,850,0.0,mid-range,0,1239,104874.39,397714.21,442287.7901875,491813.312765633
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,2,1456,322.0,high-end,1,1679,259488.92,489178.27,597408.9622375,729059.2861618154
"[""Bedroom"", ""Kitchen""]",3,0,1308,0.0,mid-range,0,1629,163477.88,557832.0,635043.0142499999,549128.4854811856
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,551,134.51401869158877,high-end,1,950,75054.99,254081.83,289908.38409999997,468125.1879910406
"[""Full renovation""]",3,2,1809,0.0,budget-friendly,0,1809,227225.3,487375.13,577474.60085,589379.4798394532
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",7,6,3252,322.0,mid-range,1,3689,574096.58,1142660.46,1393025.5286464286,910626.421425757
"[""Bathroom"", ""Kitchen""]",0,1,519,0.0,mid-range,0,1539,61625.57000000001,489998.12,538810.06175,715063.674403916
"[""Bedroom"", ""Living room""]",2,0,687,0.0,mid-range,0,1160,82767.64,295008.75,325505.68785,611849.4788960892
"[""Bathroom"", ""Other/Custom""]",0,1,283,0.0,mid-range,0,1041,47059.84,337729.02,362684.7402,362201.48039049795
"[""Bedroom"", ""Other/Custom""]",2,0,531,312.53271028037386,high-end,1,1036,86219.67000000001,318664.94,351897.4052,359371.8741154736
"[""Kitchen"", ""Other/Custom""]",0,0,558,0.0,high-end,0,1249,64693.93000000001,432108.33,472902.20175,474032.3731833224
"[""Bedroom"", ""Living room""]",7,0,2285,322.0,mid-range,1,3675,307868.18000000005,1124126.73,1236235.3491375,910855.3220634278
"[""Bedroom"", ""Bathroom""]",5,2,1686,322.0,mid-range,1,3121,281551.73,603757.47,710558.98905,768096.9796926685
"[""Living room"", ""Other/Custom""]",0,0,505,169.1818181818182,high-end,1,1195,57934.29,278444.79,301305.27037499996,258538.89048027052
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,797,0.0,high-end,0,1265,120697.52000000002,361252.63,411467.7748,471878.99087377987
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1241,301.0,high-end,1,3897,134832.5,542793.27,611039.5296499999,584499.0331593506
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1301,301.0,mid-range,1,4459,124502.5,1104305.15,1192594.6567499998,864290.96920644
"[""Bedroom"", ""Other/Custom""]",3,0,1284,322.0,budget-friendly,1,1939,157043.28,502144.34,557378.4014,426006.7205032061
"[""Bathroom"", ""Other/Custom""]",0,1,492,0.0,high-end,0,2078,82564.05,584169.22,628321.202725,718133.5629715051
"[""Bathroom"", ""Kitchen""]",0,1,270,0.0,mid-range,0,972,44909.67999999999,223719.17,251288.86940000005,453214.30405612406
"[""Bathroom"", ""Living room""]",0,1,383,0.0,budget-friendly,0,1370,51937.759999999995,213811.19,236196.3869,329482.05229326704
"[""Kitchen"", ""Other/Custom""]",0,0,826,301.0,mid-range,1,3146,95639.0,615490.97,673314.3486499999,634424.3807046467
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,1,448,165.3271028037383,mid-range,1,1025,76308.39,329697.81,363625.88715,562615.8913025274
"[""Bedroom"", ""Kitchen""]",2,0,671,349.8787878787879,mid-range,1,1091,86555.28,348298.74,391669.8728999999,359371.8741154736
"[""Living room"", ""Kitchen""]",0,0,395,145.89719626168224,high-end,1,1037,59200.31,292936.87,325655.13145,480164.60953967203
"[""Bedroom"", ""Kitchen""]",2,0,700,170.2097902097902,mid-range,1,1202,91241.43,371794.36,417722.36379999993,514826.1349765647
"[""Bathroom"", ""Other/Custom""]",0,1,486,0.0,budget-friendly,0,2790,73663.54999999999,521207.52,559495.2872250001,748201.1019928089
"[""Bathroom"", ""Kitchen""]",0,1,274,0.0,mid-range,0,802,44508.72,279039.09,309801.68220000004,361017.265710204
"[""Full renovation""]",2,1,1358,0.0,mid-range,0,1358,126206.85,371443.23,427913.33309999993,480164.60953967203
"[""Living room"", ""Kitchen""]",0,0,583,0.0,budget-friendly,0,1428,51862.89,451572.28,487840.871275,910855.3220634278
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,1,441,0.0,budget-friendly,0,955,62356.23,266162.81,292854.5633,473835.47798471845
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,1,1395,0.0,mid-range,0,1754,198358.54000000004,454729.68,544496.4009,607003.9708666095
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",3,2,1461,644.0,mid-range,1,2022,250666.67,552487.64,648022.2702500001,473835.47798471845
"[""Kitchen"", ""Other/Custom""]",0,0,376,132.55140186915887,mid-range,1,935,45953.48,314877.93,343522.78304999997,551406.6991672434
"[""Bathroom"", ""Kitchen""]",0,1,232,113.05607476635514,mid-range,1,786,49091.77,184304.1,210826.25355000002,259110.37473145
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,2,1526,795.0,mid-range,1,2126,261458.58,417997.79,495849.8783875,438354.1998740959
"[""Kitchen"", ""Other/Custom""]",0,0,693,0.0,mid-range,0,1981,78375.47,516760.55,564703.0478,480164.60953967203
"[""Bathroom"", ""Other/Custom""]",0,1,562,0.0,high-end,0,2166,89244.17000000001,541251.69,586939.8167999999,588676.7985449556
"[""Living room"", ""Other/Custom""]",0,0,588,0.0,mid-range,0,1424,52464.86,410223.54,432903.32399999996,421138.5496460387
"[""Bedroom"", ""Kitchen""]",3,0,1218,0.0,mid-range,0,1973,162815.66,373442.01,442144.39207500004,441299.58650862484
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",5,2,2102,1096.0,mid-range,1,2803,345053.04,833844.65,991920.06215,715063.674403916
"[""Living room"", ""Kitchen""]",0,0,599,0.0,budget-friendly,0,1487,51071.47,411703.3,445551.3895,419376.4300117418
"[""Bathroom"", ""Living room""]",0,1,529,0.0,high-end,0,3322,85514.08,829874.85,882349.3862999999,891671.9944522413
"[""Bedroom"", ""Kitchen""]",6,0,2047,322.0,mid-range,1,3245,287634.73000000004,614049.77,732286.9495999999,633749.447976567
"[""Kitchen"", ""Other/Custom""]",0,0,818,0.0,mid-range,0,1913,79200.85,380942.75,423033.44149999996,440857.28859962634
"[""Kitchen"", ""Other/Custom""]",0,0,872,0.0,high-end,0,1669,91581.68,423901.46,473198.9801,599125.9764701508
"[""Bedroom"", ""Other/Custom""]",7,0,2366,301.0,mid-range,1,3517,325998.87,479340.38,562475.9771562499,583917.6428237398
"[""Bedroom"", ""Kitchen""]",3,0,1248,322.0,budget-friendly,1,1606,154510.06,430029.6,496892.77544999996,473835.47798471845
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1001,301.0,mid-range,1,4117,126872.58000000002,539496.58,603738.7887999999,583628.098793705
"[""Kitchen"", ""Other/Custom""]",0,0,654,0.0,budget-friendly,0,3492,75143.85,671910.14,725252.830175,742739.9151843397
"[""Kitchen"", ""Other/Custom""]",0,0,523,0.0,budget-friendly,0,1144,52094.56,275381.51,303792.75515,259451.67101114738
"[""Living room"", ""Kitchen""]",0,0,837,0.0,high-end,0,1578,59234.46000000001,500710.92,542346.0247499999,722057.5300960252
"[""Bedroom"", ""Living room""]",1,0,348,149.3644859813084,high-end,1,903,49549.18,289085.34,309401.23065,362556.9047908152
"[""Bedroom"", ""Kitchen""]",8,0,2596,644.0,mid-range,1,3915,383270.73,522738.37,629464.1205416666,583628.098793705
"[""Bathroom"", ""Kitchen""]",0,1,399,0.0,mid-range,0,1152,58593.600000000006,314836.65,352183.833,419376.4300117418
"[""Living room"", ""Other/Custom""]",0,0,744,301.0,budget-friendly,1,2188,81065.49,598614.61,631913.4761499999,590999.7312847051
"[""Kitchen"", ""Other/Custom""]",0,0,575,167.12587412587413,budget-friendly,1,1181,53935.97,387867.57,421906.921425,517533.77259986603
"[""Full renovation""]",5,2,2542,301.0,budget-friendly,1,2542,301773.99,651560.4,771412.8150000001,593131.0463311035
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1250,602.0,high-end,1,2245,144904.15000000002,597306.13,671278.7546,593131.0463311035
"[""Bedroom"", ""Other/Custom""]",3,0,1332,644.0,mid-range,1,1841,169107.1,560936.17,621984.797425,729059.2861618154
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,2,1435,322.0,mid-range,1,1601,229928.54,446083.76,541991.7684000001,476497.9429147776
"[""Living room"", ""Kitchen""]",0,0,233,93.9708222811671,mid-range,1,508,47917.57,183597.76,206953.69374999998,470718.2613586728
"[""Bathroom"", ""Other/Custom""]",0,1,534,0.0,high-end,0,2920,89244.17000000001,574262.01,620940.4464,749690.1337423729
"[""Bedroom"", ""Kitchen""]",4,0,1528,322.0,mid-range,1,2312,208507.43,445559.79,531289.821,456784.7012993054
"[""Living room"", ""Kitchen""]",0,0,702,0.0,high-end,0,2045,87851.59,604955.15,660510.2695249999,724209.6059686558
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,847,0.0,mid-range,0,1358,110816.19,285985.22,329471.87645,455750.6403917306
"[""Living room"", ""Other/Custom""]",0,0,763,0.0,budget-friendly,0,2228,73226.16,443420.53,472039.68594999996,442311.88738048566
"[""Bedroom"", ""Bathroom""]",6,3,2055,322.0,mid-range,1,3631,359726.73,479732.24,569282.2581333334,585322.9444696801
"[""Living room"", ""Kitchen""]",0,0,549,0.0,budget-friendly,0,1103,51862.89,176597.06,200491.766375,339023.3062412534
"[""Bedroom"", ""Kitchen""]",4,0,1611,322.0,mid-range,1,2085,214779.11,699115.0,799519.2693099999,549128.4854811856
"[""Living room"", ""Other/Custom""]",0,0,616,301.0,high-end,1,1648,94996.36,533133.3,572479.0983000001,515996.1562416109
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,1,1289,0.0,mid-range,0,2071,195783.75000000003,523086.61,615556.3366,589670.1151351548
"[""Living room"", ""Kitchen""]",0,0,853,0.0,high-end,0,2784,87851.59,811979.28,876850.485375,729059.2861618154
"[""Bedroom"", ""Other/Custom""]",3,0,1309,322.0,budget-friendly,1,1837,153438.51,494351.89,548949.510175,468125.1879910406
"[""Living room"", ""Other/Custom""]",0,0,776,301.0,high-end,1,7057,88371.75,2507419.02,2573530.194675,2511284.4665295603
"[""Bedroom"", ""Bathroom""]",2,1,724,473.0,high-end,1,1631,144653.93,538444.12,601609.9708499999,514826.1349765647
"[""Living room"", ""Other/Custom""]",0,0,755,301.0,high-end,1,7175,95543.44,2660619.52,2732058.1479999996,2504340.910944834
"[""Bedroom"", ""Bathroom"", ""Living room""]",4,2,1724,1096.0,mid-range,1,2564,299398.97,472151.8,560680.2625,634424.3807046467
"[""Living room"", ""Kitchen""]",0,0,669,301.0,high-end,1,2822,103078.67,513356.26,570473.2528,633749.447976567
"[""Bathroom"", ""Other/Custom""]",0,1,185,60.710875331564985,mid-range,1,607,47076.0,137471.89,156424.9867,455750.6403917306
"[""Bathroom"", ""Kitchen""]",0,1,546,301.0,high-end,1,3650,106097.91,729345.43,808118.4661000001,764427.3883938657
"[""Living room"", ""Kitchen""]",0,0,836,0.0,mid-range,0,6922,76050.35999999999,2374257.75,2505055.2121499996,2511284.4665295603
"[""Bedroom"", ""Bathroom""]",5,2,1681,322.0,mid-range,1,2893,281392.51,564604.69,669578.4874,750964.4994797701
"[""Living room"", ""Kitchen""]",0,0,766,0.0,budget-friendly,0,3807,70935.8,508324.4,552479.738,583917.6428237398
"[""Bedroom"", ""Bathroom""]",1,1,230,137.06542056074767,budget-friendly,1,809,41400.91,301646.83,323427.014725,361017.265710204
"[""Bedroom"", ""Living room""]",7,0,2249,0.0,mid-range,0,3727,309753.70999999996,506285.71,593145.3521218749,585322.9444696801
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,891,0.0,mid-range,0,1475,89888.73000000001,388141.44,434372.1984,420882.7322267811
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,841,512.6923076923077,high-end,1,1111,125666.45,250080.89,297908.8602125,258538.89048027052
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,785,0.0,mid-range,0,1200,112840.36,339691.87,385850.49085,476497.9429147776
"[""Bathroom"", ""Kitchen""]",0,1,553,301.0,budget-friendly,1,1769,80172.13,362957.79,408786.89639999997,438354.1998740959
"[""Bedroom"", ""Living room""]",2,0,736,377.6946386946387,mid-range,1,1256,91375.23,400409.32,435655.5334,518778.0673718569
"[""Bathroom"", ""Kitchen""]",0,1,501,151.0,mid-range,1,1951,86607.73,486874.82,543368.74415,589379.4798394532
"[""Bedroom"", ""Kitchen""]",5,0,1859,322.0,mid-range,1,2952,244161.84000000003,460535.5,553793.93875,329482.05229326704
"[""Bedroom"", ""Other/Custom""]",4,0,1413,0.0,mid-range,0,2357,187929.49,561982.16,628482.1048099999,898392.8709650495
