renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,Location,renovation_cost
"[""Bedroom"", ""Kitchen""]",7,0,"{""bedrooms"": [250, 309, 282, 312, 321, 301, 244], ""bathrooms"": [], ""other"": {""Kitchen"": 370}}","{""bedrooms"": [0, 0, 0, 322, 0, 0, 322], ""bathrooms"": [], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""Budget-friendly"", ""Mid-range"", ""Budget-friendly"", ""Mid-range"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""Yes"", ""No"", ""No"", ""Yes"", ""No""]",4052,Trafford,319379.0
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [133], ""other"": {""Living room"": 310}}","{""bedrooms"": [], ""bathrooms"": [151], ""other"": {""Living room"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Living room"": ""High-end""}}","[""Yes"", ""No""]",3389,Tameside,84955.16
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 340, ""Kitchen"": 303, ""Other/Custom"": 374}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 301, ""Kitchen"": 301, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""High-end"", ""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""Yes"", ""No""]",7441,Altrincham,138323.16999999998
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",7,5,"{""bedrooms"": [309, 266, 282, 269, 297, 294, 265], ""bathrooms"": [149, 137, 134, 145, 123], ""other"": {""Kitchen"": 342}}","{""bedrooms"": [0, 0, 0, 322, 322, 0, 0], ""bathrooms"": [0, 0, 0, 0, 0], ""other"": {""Kitchen"": 301}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""High-end"", ""High-end"", ""High-end"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [""High-end"", ""High-end"", ""Mid-range"", ""Budget-friendly"", ""Budget-friendly""], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""No"", ""No"", ""No"", ""Yes"", ""Yes"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""Yes""]",4153,Tameside,546928.64
"[""Full renovation""]",7,6,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 4241}}","{""bedrooms"": [0, 0, 0, 0, 0, 0, 0], ""bathrooms"": [0, 0, 0, 0, 0, 0], ""other"": {""Full renovation"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""High-end""}}","[""Yes""]",4241,Prestwich,526771.88
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 396, ""Kitchen"": 332}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""High-end""}}","[""No"", ""No""]",5100,Prestwich,83643.54000000001
"[""Bedroom"", ""Kitchen""]",6,0,"{""bedrooms"": [264, 296, 306, 255, 243, 257], ""bathrooms"": [], ""other"": {""Kitchen"": 424}}","{""bedrooms"": [0, 0, 0, 0, 0, 0], ""bathrooms"": [], ""other"": {""Kitchen"": 301}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Budget-friendly"", ""High-end"", ""Budget-friendly"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""Yes""]",3500,Wigan,277916.51
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [137], ""other"": {""Living room"": 307}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No""]",2445,Withington,89244.17000000001
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 196, ""Kitchen"": 196}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 148.77570093457945}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Kitchen"": ""Budget-friendly""}}","[""No"", ""Yes""]",1059,Bury,47164.42999999999
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 411, ""Other/Custom"": 367}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 301, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""No""]",7072,Altrincham,95639.0
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 303, ""Other/Custom"": 376}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range"", ""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No""]",2128,Didsbury,73408.18
"[""Bedroom"", ""Other/Custom""]",4,0,"{""bedrooms"": [309, 248, 255, 284], ""bathrooms"": [], ""other"": {""Other/Custom"": 399}}","{""bedrooms"": [0, 322, 0, 0], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""Yes"", ""No"", ""No"", ""No""]",2173,Stretford,200138.08000000002
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,3,"{""bedrooms"": [303, 258, 258, 288], ""bathrooms"": [126, 117, 112], ""other"": {""Other/Custom"": 443}}","{""bedrooms"": [0, 0, 0, 0], ""bathrooms"": [0, 151, 0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""High-end"", ""Mid-range""], ""bathrooms"": [""Budget-friendly"", ""High-end"", ""High-end""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No"", ""No""]",1839,Ashton-under-Lyne,330806.87000000005
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [100], ""other"": {""Kitchen"": 285}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""No""]",1158,Chorlton,53411.05
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,"{""bedrooms"": [201, 217], ""bathrooms"": [105], ""other"": {""Living room"": 269}}","{""bedrooms"": [0, 0], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range"", ""High-end""], ""bathrooms"": [""Mid-range""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No"", ""No"", ""No""]",1266,Manchester City Centre,114454.86000000002
"[""Bedroom"", ""Other/Custom""]",4,0,"{""bedrooms"": [314, 254, 275, 268], ""bathrooms"": [], ""other"": {""Other/Custom"": 353}}","{""bedrooms"": [0, 0, 0, 0], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Budget-friendly"", ""High-end"", ""Budget-friendly"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No"", ""No"", ""No"", ""No""]",2321,Trafford,187431.02000000002
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,"{""bedrooms"": [228, 206], ""bathrooms"": [106], ""other"": {""Kitchen"": 258}}","{""bedrooms"": [194.1841491841492, 0], ""bathrooms"": [0], ""other"": {""Kitchen"": 172.85314685314685}}","{""bedrooms"": [""Mid-range"", ""Mid-range""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Kitchen"": ""High-end""}}","[""Yes"", ""No"", ""No"", ""Yes""]",1220,Chorlton,116978.55
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,1,"{""bedrooms"": [119], ""bathrooms"": [64], ""other"": {""Other/Custom"": 125}}","{""bedrooms"": [0], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [""High-end""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No"", ""No""]",509,Bury,69796.2
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [63], ""other"": {""Other/Custom"": 122}}","{""bedrooms"": [], ""bathrooms"": [60.710875331564985], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""No""]",607,Bury,47076.0
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 174, ""Kitchen"": 198}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""High-end""}}","[""No"", ""No""]",886,Salford,52049.86
"[""Bedroom"", ""Bathroom""]",1,1,"{""bedrooms"": [109], ""bathrooms"": [59], ""other"": {}}","{""bedrooms"": [106.35941644562334], ""bathrooms"": [0], ""other"": {}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [""Budget-friendly""], ""other"": {}}","[""Yes"", ""No""]",357,Manchester City Centre,41400.91
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [75], ""other"": {""Living room"": 199}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No""]",870,Sale,44373.85
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,1,"{""bedrooms"": [314, 301, 299], ""bathrooms"": [113], ""other"": {""Living room"": 339}}","{""bedrooms"": [0, 0, 322], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range"", ""High-end"", ""Mid-range""], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No"", ""Yes"", ""No"", ""No""]",1814,Salford,214382.49
"[""Full renovation""]",10,7,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 6061}}","{""bedrooms"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""bathrooms"": [0, 0, 0, 0, 0, 0, 0], ""other"": {""Full renovation"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""High-end""}}","[""No""]",6061,Altrincham,660250.2899999999
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 410, ""Kitchen"": 446}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range""}}","[""No"", ""No""]",2186,Stretford,76449.22
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",3,1,"{""bedrooms"": [253, 308, 260], ""bathrooms"": [141], ""other"": {""Other/Custom"": 369}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [151], ""other"": {""Other/Custom"": 301}}","{""bedrooms"": [""Budget-friendly"", ""High-end"", ""Budget-friendly""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""Yes"", ""Yes""]",2041,Manchester City Centre,193595.11
"[""Bedroom"", ""Kitchen""]",2,0,"{""bedrooms"": [229, 229], ""bathrooms"": [], ""other"": {""Kitchen"": 289}}","{""bedrooms"": [0, 0], ""bathrooms"": [], ""other"": {""Kitchen"": 194.14685314685315}}","{""bedrooms"": [""Budget-friendly"", ""High-end""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""No"", ""No"", ""Yes""]",1365,Withington,83934.08
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [122], ""other"": {""Living room"": 311}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No""]",2664,Withington,82564.05
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 422, ""Kitchen"": 355}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Mid-range""}}","[""No"", ""No""]",7104,Altrincham,80847.85
"[""Bedroom"", ""Bathroom""]",5,2,"{""bedrooms"": [278, 247, 298, 305, 299], ""bathrooms"": [133, 124], ""other"": {}}","{""bedrooms"": [0, 0, 322, 0, 0], ""bathrooms"": [151, 0], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""Budget-friendly"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [""Mid-range"", ""Budget-friendly""], ""other"": {}}","[""No"", ""No"", ""Yes"", ""No"", ""No"", ""Yes"", ""No""]",3268,Bolton,263678.06000000006
"[""Bedroom"", ""Other/Custom""]",1,0,"{""bedrooms"": [167], ""bathrooms"": [], ""other"": {""Other/Custom"": 196}}","{""bedrooms"": [0], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""High-end""}}","[""No"", ""No""]",1031,Stockport,50419.740000000005
"[""Bedroom"", ""Kitchen""]",1,0,"{""bedrooms"": [163], ""bathrooms"": [], ""other"": {""Kitchen"": 189}}","{""bedrooms"": [0], ""bathrooms"": [], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""No""]",981,Didsbury,45953.479999999996
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [137], ""other"": {""Kitchen"": 364}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""No""]",2789,Oldham,74134.98
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [140], ""other"": {""Kitchen"": 325}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""No""]",3712,Bolton,79305.39
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [140], ""other"": {""Other/Custom"": 345}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No""]",2707,Withington,76082.33
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 125, ""Kitchen"": 128, ""Other/Custom"": 122}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""No"", ""No"", ""No""]",577,Salford,69556.37
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 329, ""Kitchen"": 401, ""Other/Custom"": 401}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0, ""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""High-end"", ""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No"", ""Yes""]",2030,Didsbury,133206.55
"[""Bedroom"", ""Kitchen""]",4,0,"{""bedrooms"": [294, 312, 244, 244], ""bathrooms"": [], ""other"": {""Kitchen"": 435}}","{""bedrooms"": [0, 0, 0, 322], ""bathrooms"": [], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""Budget-friendly"", ""High-end"", ""Budget-friendly"", ""High-end""], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}","[""No"", ""No"", ""No"", ""Yes"", ""No""]",2580,Cheadle,213796.56
"[""Bedroom"", ""Kitchen""]",1,0,"{""bedrooms"": [166], ""bathrooms"": [], ""other"": {""Kitchen"": 172}}","{""bedrooms"": [142.82242990654206], ""bathrooms"": [], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""High-end""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""Yes"", ""No""]",853,Manchester City Centre,48854.01
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [106], ""other"": {""Other/Custom"": 299}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No""]",1126,Stockport,52169.43
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [105], ""other"": {""Kitchen"": 299}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""High-end""}}","[""No"", ""No""]",1416,Levenshulme,61306.26
"[""Bedroom"", ""Bathroom""]",4,2,"{""bedrooms"": [279, 243, 252, 276], ""bathrooms"": [136, 135], ""other"": {}}","{""bedrooms"": [0, 0, 0, 322], ""bathrooms"": [0, 0], ""other"": {}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""High-end"", ""Mid-range""], ""bathrooms"": [""High-end"", ""High-end""], ""other"": {}}","[""No"", ""No"", ""No"", ""Yes"", ""No"", ""No""]",2071,Levenshulme,262773.15
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 381, ""Kitchen"": 401, ""Other/Custom"": 444}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 301, ""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""Yes"", ""Yes""]",1998,Stretford,131488.85
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 230, ""Other/Custom"": 267}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 158.16783216783216}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Budget-friendly""}}","[""No"", ""Yes""]",1120,Sale,53018.96
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 328, ""Other/Custom"": 403}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 301, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""Yes"", ""No""]",2600,Tameside,85778.97
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,1,"{""bedrooms"": [169], ""bathrooms"": [85], ""other"": {""Living room"": 198}}","{""bedrooms"": [0], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Living room"": ""Budget-friendly""}}","[""No"", ""No"", ""No""]",934,Sale,63159.479999999996
"[""Bedroom"", ""Living room""]",1,0,"{""bedrooms"": [130], ""bathrooms"": [], ""other"": {""Living room"": 128}}","{""bedrooms"": [126.66180371352786], ""bathrooms"": [], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}","[""Yes"", ""No""]",713,Salford,47530.899999999994
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [101], ""other"": {""Kitchen"": 291}}","{""bedrooms"": [], ""bathrooms"": [93.11888111888112], ""other"": {""Kitchen"": 170.35664335664336}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""Mid-range""}}","[""Yes"", ""Yes""]",1203,Chorlton,55138.31
"[""Bedroom"", ""Living room""]",3,0,"{""bedrooms"": [246, 285, 242], ""bathrooms"": [], ""other"": {""Living room"": 404}}","{""bedrooms"": [322, 322, 0], ""bathrooms"": [], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Budget-friendly"", ""High-end"", ""High-end""], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}","[""Yes"", ""Yes"", ""No"", ""No""]",1721,Rochdale,172837.19
"[""Bedroom"", ""Other/Custom""]",3,0,"{""bedrooms"": [292, 257, 251], ""bathrooms"": [], ""other"": {""Other/Custom"": 325}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Mid-range"", ""High-end"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""No""]",2152,Ashton-under-Lyne,158437.30000000002
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [135], ""other"": {""Other/Custom"": 356}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",3155,Bolton,84980.28
"[""Full renovation""]",1,1,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 696}}","{""bedrooms"": [0], ""bathrooms"": [0], ""other"": {""Full renovation"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Budget-friendly""}}","[""No""]",696,Manchester City Centre,75958.26000000001
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",1,1,"{""bedrooms"": [229], ""bathrooms"": [96], ""other"": {""Kitchen"": 239}}","{""bedrooms"": [183.74125874125875], ""bathrooms"": [0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""High-end""], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""High-end""}}","[""Yes"", ""No"", ""No""]",1150,Chorlton,99976.02
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [135], ""other"": {""Other/Custom"": 440}}","{""bedrooms"": [], ""bathrooms"": [151], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other/Custom"": ""High-end""}}","[""Yes"", ""No""]",1751,Manchester City Centre,77506.37
"[""Bedroom"", ""Living room""]",3,0,"{""bedrooms"": [281, 256, 301], ""bathrooms"": [], ""other"": {""Living room"": 346}}","{""bedrooms"": [0, 0, 322], ""bathrooms"": [], ""other"": {""Living room"": 0}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}","[""No"", ""No"", ""Yes"", ""No""]",1880,Stretford,163525.0
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 347, ""Kitchen"": 438}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Kitchen"": ""Budget-friendly""}}","[""No"", ""No""]",1816,Salford,73577.98
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",3,2,"{""bedrooms"": [268, 270, 306], ""bathrooms"": [143, 146], ""other"": {""Other/Custom"": 357}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [""Budget-friendly"", ""Mid-range""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",1915,Prestwich,226540.92
"[""Bedroom"", ""Bathroom"", ""Living room""]",7,4,"{""bedrooms"": [266, 265, 255, 309, 287, 241, 298], ""bathrooms"": [149, 135, 123, 114], ""other"": {""Living room"": 345}}","{""bedrooms"": [0, 0, 0, 0, 0, 0, 0], ""bathrooms"": [0, 151, 0, 151], ""other"": {""Living room"": 0}}","{""bedrooms"": [""High-end"", ""High-end"", ""Budget-friendly"", ""High-end"", ""High-end"", ""High-end"", ""High-end""], ""bathrooms"": [""Budget-friendly"", ""Mid-range"", ""Budget-friendly"", ""Budget-friendly""], ""other"": {""Living room"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No"", ""Yes"", ""No""]",4191,Wigan,480152.6699999999
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 428, ""Other/Custom"": 369}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 301, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""No""]",3115,Oldham,95639.0
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",5,4,"{""bedrooms"": [318, 285, 249, 316, 322], ""bathrooms"": [147, 134, 129, 141], ""other"": {""Kitchen"": 444}}","{""bedrooms"": [322, 0, 0, 0, 0], ""bathrooms"": [151, 0, 0, 0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range"", ""Budget-friendly"", ""Budget-friendly"", ""Mid-range""], ""bathrooms"": [""High-end"", ""High-end"", ""Mid-range"", ""Mid-range""], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""Yes"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No"", ""No"", ""No"", ""No""]",2474,Cheadle,406481.32
