renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,location,renovation_cost,pre_renovation_cost
"[""Bedroom"", ""Kitchen""]",1,0,"{""bedrooms"": [154], ""bathrooms"": [], ""other"": {""Kitchen"": 175}}","{""bedrooms"": [0], ""bathrooms"": [], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""No"", ""No""]",890,Stockport,44944.630000000005,235305.35
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 180, ""Kitchen"": 190, ""Other/Custom"": 181}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 134.51401869158877, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Mid-range"", ""Other/Custom"": ""High-end""}}","[""No"", ""Yes"", ""No""]",950,Didsbury,75054.99,254081.83
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 338, ""Other/Custom"": 315}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 301, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range"", ""Other/Custom"": ""High-end""}}","[""Yes"", ""No""]",4426,Tameside,91337.45,793964.15
"[""Bedroom"", ""Other/Custom""]",3,0,"{""bedrooms"": [282, 314, 278], ""bathrooms"": [], ""other"": {""Other/Custom"": 374}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Budget-friendly"", ""Budget-friendly"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""High-end""}}","[""No"", ""No"", ""No"", ""No""]",2190,Stretford,155685.66999999998,548685.59
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 183, ""Other/Custom"": 198}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",857,Manchester City Centre,44944.630000000005,318256.27
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 314, ""Other/Custom"": 374}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Mid-range""}}","[""No"", ""No""]",1680,Prestwich,75143.85,410266.81
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,2,"{""bedrooms"": [307, 301, 308], ""bathrooms"": [133, 143], ""other"": {""Kitchen"": 344}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""Budget-friendly"", ""Budget-friendly"", ""High-end""], ""bathrooms"": [""Budget-friendly"", ""Mid-range""], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",1637,Cheadle,227012.35000000003,471141.09
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 298, ""Other/Custom"": 232}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""No"", ""No""]",1102,Sale,56007.3,348208.74
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 200, ""Other/Custom"": 198}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No""]",1045,Didsbury,46329.46,311099.8
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [120], ""other"": {""Kitchen"": 353}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""No"", ""No""]",1559,Chorlton,50033.880000000005,517621.91
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",7,3,"{""bedrooms"": [301, 276, 277, 270, 288, 242, 270], ""bathrooms"": [114, 136, 139], ""other"": {""Kitchen"": 388}}","{""bedrooms"": [0, 322, 322, 322, 322, 0, 0], ""bathrooms"": [0, 0, 151], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Mid-range"", ""High-end"", ""High-end"", ""Mid-range"", ""High-end""], ""bathrooms"": [""High-end"", ""High-end"", ""High-end""], ""other"": {""Kitchen"": ""High-end""}}","[""No"", ""Yes"", ""Yes"", ""Yes"", ""Yes"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No""]",3766,Wigan,519373.91,503898.44
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,2,"{""bedrooms"": [290, 319, 256], ""bathrooms"": [121, 146], ""other"": {""Living room"": 327}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [151, 0], ""other"": {""Living room"": 301}}","{""bedrooms"": [""High-end"", ""High-end"", ""Budget-friendly""], ""bathrooms"": [""Budget-friendly"", ""High-end""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No"", ""No"", ""Yes"", ""No"", ""Yes""]",1541,Didsbury,194784.58,407732.68
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 376, ""Kitchen"": 302}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 301, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""High-end""}}","[""Yes"", ""No""]",1746,Ashton-under-Lyne,102053.58,327032.58
"[""Bedroom"", ""Bathroom""]",3,1,"{""bedrooms"": [268, 299, 251], ""bathrooms"": [140], ""other"": {}}","{""bedrooms"": [0, 322, 0], ""bathrooms"": [0], ""other"": {}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""High-end""], ""bathrooms"": [""High-end""], ""other"": {}}","[""No"", ""Yes"", ""No"", ""No""]",2009,Stretford,180010.7,524681.65
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [134], ""other"": {""Living room"": 424}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 301}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""Yes""]",1766,Chorlton,87865.54,586135.35
"[""Full renovation""]",1,1,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 842}}","{""bedrooms"": [0], ""bathrooms"": [0], ""other"": {""Full renovation"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Mid-range""}}","[""No""]",842,Levenshulme,80133.45,220927.58
"[""Bedroom"", ""Other/Custom""]",2,0,"{""bedrooms"": [230, 227], ""bathrooms"": [], ""other"": {""Other/Custom"": 285}}","{""bedrooms"": [0, 0], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""No""]",1374,Salford,78131.43,441549.19
"[""Living room"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 375, ""Other/Custom"": 371}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""No"", ""No""]",2919,Oldham,77752.99,567589.58
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 420, ""Kitchen"": 432}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""High-end""}}","[""No"", ""No""]",1754,Cheadle,83643.54000000001,523770.37
"[""Bedroom"", ""Bathroom""]",3,2,"{""bedrooms"": [249, 246, 315], ""bathrooms"": [121, 143], ""other"": {}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [0, 0], ""other"": {}}","{""bedrooms"": [""High-end"", ""High-end"", ""High-end""], ""bathrooms"": [""High-end"", ""Mid-range""], ""other"": {}}","[""No"", ""No"", ""No"", ""No"", ""No""]",1962,Withington,214903.02,515316.38
"[""Bedroom"", ""Bathroom""]",6,4,"{""bedrooms"": [278, 292, 308, 268, 241, 291], ""bathrooms"": [112, 112, 121, 136], ""other"": {}}","{""bedrooms"": [0, 322, 322, 0, 0, 0], ""bathrooms"": [0, 151, 0, 0], ""other"": {}}","{""bedrooms"": [""High-end"", ""High-end"", ""Budget-friendly"", ""High-end"", ""Budget-friendly"", ""Mid-range""], ""bathrooms"": [""High-end"", ""High-end"", ""Mid-range"", ""Budget-friendly""], ""other"": {}}","[""No"", ""Yes"", ""Yes"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No"", ""No""]",3043,Bury,426347.18999999994,620821.15
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",3,2,"{""bedrooms"": [270, 271, 251], ""bathrooms"": [130, 150], ""other"": {""Other/Custom"": 327}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [""Budget-friendly"", ""Budget-friendly""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",2081,Stretford,227125.11,517284.32
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [118], ""other"": {""Living room"": 427}}","{""bedrooms"": [], ""bathrooms"": [151], ""other"": {""Living room"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""Budget-friendly""}}","[""Yes"", ""No""]",1915,Stretford,90500.48,491938.04
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 353, ""Kitchen"": 416, ""Other/Custom"": 364}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 301, ""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Mid-range"", ""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""No"", ""No""]",1836,Ashton-under-Lyne,130015.92,362765.54
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [126], ""other"": {""Other/Custom"": 407}}","{""bedrooms"": [], ""bathrooms"": [151], ""other"": {""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Other/Custom"": ""High-end""}}","[""Yes"", ""Yes""]",4845,Prestwich,93761.92,1196318.26
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,3,"{""bedrooms"": [258, 263, 284, 271], ""bathrooms"": [147, 135, 132], ""other"": {""Other/Custom"": 311}}","{""bedrooms"": [0, 322, 322, 0], ""bathrooms"": [0, 0, 0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Mid-range"", ""High-end""], ""bathrooms"": [""Mid-range"", ""Budget-friendly"", ""Mid-range""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""Yes"", ""Yes"", ""No"", ""No"", ""No"", ""No"", ""No""]",2059,Bury,328930.12,415304.85
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 192, ""Kitchen"": 199}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range""}}","[""No"", ""No""]",980,Levenshulme,44752.31,288990.82
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,"{""bedrooms"": [318, 290], ""bathrooms"": [138], ""other"": {""Other/Custom"": 381}}","{""bedrooms"": [0, 0], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""High-end""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""No""]",1689,Bury,158856.21,344515.82
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [139], ""other"": {""Living room"": 412}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 301}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""Yes""]",2156,Stretford,89286.42,558205.21
"[""Bedroom"", ""Kitchen""]",14,0,"{""bedrooms"": [280, 265, 246, 262, 266, 296, 242, 266, 304, 317, 306, 275, 293, 287], ""bathrooms"": [], ""other"": {""Kitchen"": 421}}","{""bedrooms"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 322, 322, 322, 0, 0], ""bathrooms"": [], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""Mid-range"", ""High-end"", ""Mid-range"", ""High-end"", ""Mid-range"", ""Budget-friendly"", ""Mid-range"", ""Budget-friendly"", ""High-end"", ""Mid-range"", ""Mid-range"", ""High-end"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""Yes"", ""Yes"", ""No"", ""No"", ""No""]",6823,Altrincham,600714.58,2403796.84
"[""Bedroom"", ""Kitchen""]",2,0,"{""bedrooms"": [207, 202], ""bathrooms"": [], ""other"": {""Kitchen"": 274}}","{""bedrooms"": [0, 0], ""bathrooms"": [], ""other"": {""Kitchen"": 164.04195804195805}}","{""bedrooms"": [""Mid-range"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}","[""No"", ""No"", ""Yes""]",1160,Levenshulme,91241.43,294077.25
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 421, ""Kitchen"": 303, ""Other/Custom"": 381}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 301, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""High-end"", ""Other/Custom"": ""Budget-friendly""}}","[""No"", ""Yes"", ""No""]",1868,Manchester City Centre,128389.78,582545.11
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [108], ""other"": {""Other/Custom"": 298}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Other/Custom"": ""High-end""}}","[""No"", ""No""]",1431,Rochdale,56873.59,228913.94
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",5,3,"{""bedrooms"": [283, 293, 272, 252, 256], ""bathrooms"": [132, 141, 128], ""other"": {""Kitchen"": 410}}","{""bedrooms"": [0, 322, 322, 0, 322], ""bathrooms"": [0, 0, 0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [""High-end"", ""High-end"", ""High-end"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [""Budget-friendly"", ""Budget-friendly"", ""High-end""], ""other"": {""Kitchen"": ""High-end""}}","[""No"", ""Yes"", ""Yes"", ""No"", ""Yes"", ""No"", ""No"", ""No"", ""No""]",3202,Oldham,385178.92,631698.03
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",10,8,"{""bedrooms"": [250, 275, 286, 320, 280, 248, 283, 311, 243, 284], ""bathrooms"": [112, 125, 133, 122, 115, 126, 136, 115], ""other"": {""Other/Custom"": 449}}","{""bedrooms"": [0, 0, 0, 322, 322, 0, 322, 0, 0, 0], ""bathrooms"": [0, 0, 151, 0, 0, 0, 0, 0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Mid-range"", ""Mid-range"", ""High-end"", ""Mid-range"", ""High-end"", ""Budget-friendly"", ""High-end"", ""Budget-friendly"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [""Budget-friendly"", ""Mid-range"", ""Mid-range"", ""Mid-range"", ""Budget-friendly"", ""Mid-range"", ""Budget-friendly"", ""High-end""], ""other"": {""Other/Custom"": ""High-end""}}","[""No"", ""No"", ""No"", ""Yes"", ""Yes"", ""No"", ""Yes"", ""No"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",6018,Altrincham,756011.1899999997,2184440.37
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",3,2,"{""bedrooms"": [243, 285, 320], ""bathrooms"": [117, 145], ""other"": {""Other/Custom"": 341}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""Mid-range""], ""bathrooms"": [""Budget-friendly"", ""High-end""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",1596,Levenshulme,171030.21,407757.04
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 393, ""Kitchen"": 417, ""Other/Custom"": 329}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0, ""Other/Custom"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""No"", ""No"", ""Yes""]",1793,Levenshulme,125775.99,474276.1
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [129], ""other"": {""Kitchen"": 305}}","{""bedrooms"": [], ""bathrooms"": [151], ""other"": {""Kitchen"": 301}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""High-end""}}","[""Yes"", ""Yes""]",1705,Bury,113746.44,331429.66
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,"{""bedrooms"": [169, 168], ""bathrooms"": [90], ""other"": {""Other/Custom"": 197}}","{""bedrooms"": [159.83177570093457, 159.83177570093457], ""bathrooms"": [0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""High-end""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""Yes"", ""No"", ""No""]",983,Sale,97994.52999999998,302808.59
"[""Bedroom"", ""Other/Custom""]",13,0,"{""bedrooms"": [271, 302, 286, 310, 293, 309, 285, 259, 257, 260, 242, 317, 290], ""bathrooms"": [], ""other"": {""Other/Custom"": 315}}","{""bedrooms"": [322, 0, 0, 322, 0, 322, 322, 0, 0, 0, 0, 0, 0], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range"", ""Budget-friendly"", ""Mid-range"", ""Mid-range"", ""Budget-friendly"", ""Mid-range"", ""Mid-range"", ""Budget-friendly"", ""Budget-friendly"", ""Budget-friendly"", ""Budget-friendly"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Mid-range""}}","[""Yes"", ""No"", ""No"", ""Yes"", ""No"", ""Yes"", ""Yes"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",7430,Altrincham,541696.68,2575444.0
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [93], ""other"": {""Kitchen"": 250}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""Mid-range""}}","[""No"", ""No""]",1118,Stockport,58829.369999999995,280074.49
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 407, ""Kitchen"": 394}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Kitchen"": ""Mid-range""}}","[""No"", ""No""]",1939,Didsbury,76050.35999999999,506235.0
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 315, ""Other/Custom"": 407}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range"", ""Other/Custom"": ""High-end""}}","[""No"", ""No""]",3265,Withington,82930.94,788049.83
"[""Bedroom"", ""Bathroom""]",5,4,"{""bedrooms"": [295, 308, 304, 249, 299], ""bathrooms"": [148, 124, 137, 115], ""other"": {}}","{""bedrooms"": [322, 0, 0, 0, 322], ""bathrooms"": [151, 0, 0, 0], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""High-end"", ""Mid-range"", ""Mid-range"", ""Mid-range""], ""bathrooms"": [""High-end"", ""High-end"", ""Mid-range"", ""Mid-range""], ""other"": {}}","[""Yes"", ""No"", ""No"", ""No"", ""Yes"", ""Yes"", ""No"", ""No"", ""No""]",3269,Bolton,394487.38,644835.47
"[""Bedroom"", ""Other/Custom""]",6,0,"{""bedrooms"": [244, 297, 318, 290, 276, 304], ""bathrooms"": [], ""other"": {""Other/Custom"": 321}}","{""bedrooms"": [0, 0, 0, 0, 0, 322], ""bathrooms"": [], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""Mid-range"", ""Budget-friendly"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""Yes"", ""No""]",3546,Bolton,273687.95,709250.44
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 347, ""Kitchen"": 421}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range""}}","[""No"", ""No""]",1962,Didsbury,73408.18,546669.98
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 432, ""Other/Custom"": 417}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""No"", ""No""]",2095,Salford,78375.47,681996.49
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,"{""bedrooms"": [165, 157], ""bathrooms"": [87], ""other"": {""Living room"": 185}}","{""bedrooms"": [0, 0], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [""Mid-range"", ""High-end""], ""bathrooms"": [""Mid-range""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""No"", ""No"", ""No""]",954,Stockport,97524.18,208914.44
"[""Bedroom"", ""Other/Custom""]",3,0,"{""bedrooms"": [267, 241, 277], ""bathrooms"": [], ""other"": {""Other/Custom"": 441}}","{""bedrooms"": [0, 0, 322], ""bathrooms"": [], ""other"": {""Other/Custom"": 301}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""Yes"", ""Yes""]",1827,Ashton-under-Lyne,171321.25000000003,355267.29
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 432, ""Kitchen"": 423}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 301}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""High-end""}}","[""No"", ""Yes""]",6250,Altrincham,103078.67,2162950.3
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,2,"{""bedrooms"": [304, 306, 308, 243], ""bathrooms"": [127, 150], ""other"": {""Other/Custom"": 308}}","{""bedrooms"": [0, 0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Other/Custom"": 0}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Mid-range"", ""High-end""], ""bathrooms"": [""High-end"", ""Mid-range""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""No"", ""No"", ""No"", ""No"", ""No"", ""No""]",2243,Trafford,284163.56000000006,644595.32
"[""Full renovation""]",3,2,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 2024}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [0, 0], ""other"": {""Full renovation"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Budget-friendly""}}","[""No""]",2024,Stretford,227225.3,511930.85
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [148], ""other"": {""Living room"": 343}}","{""bedrooms"": [], ""bathrooms"": [0], ""other"": {""Living room"": 0}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""Mid-range""}}","[""No"", ""No""]",1813,Trafford,84980.28,551903.43
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 185, ""Kitchen"": 152, ""Other/Custom"": 165}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 0, ""Kitchen"": 0, ""Other/Custom"": 0}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Kitchen"": ""High-end"", ""Other/Custom"": ""High-end""}}","[""No"", ""No"", ""No""]",847,Salford,78617.39,276365.37
