renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,Location
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 121}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 203}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}",846,Sale
"[""Living room"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 76, ""Other"": 88}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 271, ""Other"": 145}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Other"": ""Mid-range""}}",1607,Wigan
"[""Bathroom"", ""Other"", ""Bedroom""]",2,1,"{""bedrooms"": [101, 165], ""bathrooms"": [26], ""other"": {""Other"": 277}}","[""Yes"", ""No"", ""Yes"", ""Yes""]","{""bedrooms"": [128, 144], ""bathrooms"": [37], ""other"": {""Other"": 259}}","{""bedrooms"": [""Mid-range"", ""High-end""], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other"": ""Budget-friendly""}}",1556,Sale
"[""Bathroom"", ""Bedroom""]",2,2,"{""bedrooms"": [188, 115], ""bathrooms"": [77, 78], ""other"": {}}","[""No"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [200, 133], ""bathrooms"": [51, 39], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range""], ""bathrooms"": [""High-end"", ""Mid-range""], ""other"": {}}",2297,Cheadle
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 242}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 118}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly""}}",924,Cheadle
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 21}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 223}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1465,Rochdale
"[""Bathroom"", ""Kitchen""]",0,2,"{""bedrooms"": [], ""bathrooms"": [23, 53], ""other"": {""Kitchen"": 64}}","[""Yes"", ""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [47, 49], ""other"": {""Kitchen"": 139}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Budget-friendly""], ""other"": {""Kitchen"": ""Budget-friendly""}}",1458,Tameside
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 234}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 88}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}",1676,Cheadle
"[""Bedroom"", ""Bathroom""]",2,3,"{""bedrooms"": [41, 64], ""bathrooms"": [57, 67, 54], ""other"": {}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [84, 110], ""bathrooms"": [67, 90, 91], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Mid-range""], ""bathrooms"": [""Mid-range"", ""Budget-friendly"", ""Mid-range""], ""other"": {}}",985,Stretford
"[""Bedroom""]",4,0,"{""bedrooms"": [74, 115, 26, 161], ""bathrooms"": [], ""other"": {}}","[""No"", ""Yes"", ""No"", ""No""]","{""bedrooms"": [126, 145, 148, 148], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""Budget-friendly"", ""High-end"", ""High-end""], ""bathrooms"": [], ""other"": {}}",1299,Tameside
"[""Other"", ""Bathroom"", ""Kitchen""]",0,3,"{""bedrooms"": [], ""bathrooms"": [4, 5, 36], ""other"": {""Other"": 196, ""Kitchen"": 100}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [99, 96, 59], ""other"": {""Other"": 265, ""Kitchen"": 285}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Mid-range"", ""Budget-friendly""], ""other"": {""Other"": ""High-end"", ""Kitchen"": ""Budget-friendly""}}",1698,Sale
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 60}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 212}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}",803,Chorlton
"[""Bathroom"", ""Other"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [5], ""other"": {""Other"": 121, ""Kitchen"": 277}}","[""Yes"", ""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [73], ""other"": {""Other"": 269, ""Kitchen"": 96}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other"": ""High-end"", ""Kitchen"": ""Budget-friendly""}}",1752,Altrincham
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [9], ""other"": {""Kitchen"": 198}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [75], ""other"": {""Kitchen"": 136}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Kitchen"": ""Mid-range""}}",1063,Altrincham
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 167}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 287}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end""}}",1767,Stretford
"[""Bathroom"", ""Kitchen"", ""Living room""]",0,2,"{""bedrooms"": [], ""bathrooms"": [35, 63], ""other"": {""Kitchen"": 168, ""Living room"": 45}}","[""No"", ""No"", ""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [92, 73], ""other"": {""Kitchen"": 143, ""Living room"": 270}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Budget-friendly""], ""other"": {""Kitchen"": ""High-end"", ""Living room"": ""High-end""}}",1102,Withington
"[""Kitchen"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 193, ""Other"": 57}}","[""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 142, ""Other"": 98}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range"", ""Other"": ""High-end""}}",1769,Stretford
"[""Bedroom"", ""Other""]",2,0,"{""bedrooms"": [60, 147], ""bathrooms"": [], ""other"": {""Other"": 169}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [145, 92], ""bathrooms"": [], ""other"": {""Other"": 268}}","{""bedrooms"": [""High-end"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",1063,Ashton-under-Lyne
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 105}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 80}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end""}}",1707,Altrincham
"[""Other"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 57, ""Kitchen"": 177}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 284, ""Kitchen"": 182}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range"", ""Kitchen"": ""Mid-range""}}",956,Levenshulme
"[""Bedroom""]",4,0,"{""bedrooms"": [169, 137, 183, 40], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes"", ""Yes"", ""No""]","{""bedrooms"": [103, 182, 155, 134], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""High-end"", ""High-end""], ""bathrooms"": [], ""other"": {}}",1158,Prestwich
"[""Other"", ""Kitchen"", ""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [9], ""other"": {""Other"": 225, ""Kitchen"": 202}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [81], ""other"": {""Other"": 89, ""Kitchen"": 177}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Other"": ""High-end"", ""Kitchen"": ""Budget-friendly""}}",1318,Bolton
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 59}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 167}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",696,Tameside
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 149}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 242}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}",2183,Trafford
"[""Kitchen"", ""Bedroom""]",4,0,"{""bedrooms"": [101, 125, 185, 3], ""bathrooms"": [], ""other"": {""Kitchen"": 287}}","[""Yes"", ""No"", ""Yes"", ""No"", ""Yes""]","{""bedrooms"": [185, 196, 168, 122], ""bathrooms"": [], ""other"": {""Kitchen"": 163}}","{""bedrooms"": [""High-end"", ""High-end"", ""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1599,Stretford
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 275}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 165}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}",954,Chorlton
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 189}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 290}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",1480,Rochdale
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 203}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 94}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1113,Oldham
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 123}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 122}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",433,Manchester City Centre
"[""Bedroom"", ""Other""]",1,0,"{""bedrooms"": [199], ""bathrooms"": [], ""other"": {""Other"": 272}}","[""No"", ""No""]","{""bedrooms"": [158], ""bathrooms"": [], ""other"": {""Other"": 279}}","{""bedrooms"": [""High-end""], ""bathrooms"": [], ""other"": {""Other"": ""High-end""}}",1115,Withington
"[""Other"", ""Kitchen"", ""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 30, ""Kitchen"": 71, ""Living room"": 195}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 161, ""Kitchen"": 182, ""Living room"": 138}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range"", ""Kitchen"": ""Mid-range"", ""Living room"": ""Mid-range""}}",779,Bury
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 268}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 102}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",1099,Chorlton
"[""Other"", ""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 176, ""Living room"": 216}}","[""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 179, ""Living room"": 182}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end"", ""Living room"": ""Mid-range""}}",1469,Ashton-under-Lyne
"[""Living room"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 293, ""Other"": 9}}","[""No"", ""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 109, ""Other"": 93}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Other"": ""High-end""}}",1167,Wigan
"[""Bathroom"", ""Bedroom"", ""Kitchen""]",1,3,"{""bedrooms"": [51], ""bathrooms"": [60, 65, 44], ""other"": {""Kitchen"": 213}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [168], ""bathrooms"": [58, 79, 99], ""other"": {""Kitchen"": 155}}","{""bedrooms"": [""High-end""], ""bathrooms"": [""High-end"", ""Budget-friendly"", ""Mid-range""], ""other"": {""Kitchen"": ""Budget-friendly""}}",1216,Didsbury
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 233}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 296}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end""}}",914,Stretford
"[""Bathroom"", ""Living room""]",0,2,"{""bedrooms"": [], ""bathrooms"": [41, 6], ""other"": {""Living room"": 68}}","[""Yes"", ""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [48, 58], ""other"": {""Living room"": 156}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""High-end""], ""other"": {""Living room"": ""High-end""}}",1736,Cheadle
"[""Bedroom"", ""Bathroom""]",3,1,"{""bedrooms"": [73, 149, 28], ""bathrooms"": [25], ""other"": {}}","[""Yes"", ""No"", ""Yes"", ""Yes""]","{""bedrooms"": [157, 122, 194], ""bathrooms"": [91], ""other"": {}}","{""bedrooms"": [""High-end"", ""High-end"", ""Mid-range""], ""bathrooms"": [""Budget-friendly""], ""other"": {}}",855,Prestwich
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 78}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 164}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1257,Didsbury
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [68, 14, 42], ""other"": {}}","[""No"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [39, 46, 52], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""High-end"", ""Budget-friendly""], ""other"": {}}",1048,Levenshulme
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 30}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 105}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1224,Chorlton
"[""Living room"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 32, ""Other"": 108}}","[""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 248, ""Other"": 258}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Other"": ""High-end""}}",664,Rochdale
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 137}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 193}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",742,Chorlton
"[""Living room"", ""Other"", ""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [35, 44, 79], ""other"": {""Living room"": 21, ""Other"": 52}}","[""Yes"", ""Yes"", ""No"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [90, 87, 70], ""other"": {""Living room"": 135, ""Other"": 143}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""High-end"", ""Budget-friendly""], ""other"": {""Living room"": ""High-end"", ""Other"": ""High-end""}}",1142,Trafford
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [75, 49, 13], ""other"": {}}","[""No"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [68, 92, 48], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Budget-friendly"", ""High-end""], ""other"": {}}",1342,Prestwich
"[""Kitchen"", ""Bathroom"", ""Other""]",0,3,"{""bedrooms"": [], ""bathrooms"": [10, 34, 3], ""other"": {""Kitchen"": 238, ""Other"": 99}}","[""Yes"", ""Yes"", ""No"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [36, 60, 54], ""other"": {""Kitchen"": 157, ""Other"": 142}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Budget-friendly"", ""Budget-friendly""], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other"": ""High-end""}}",1177,Stockport
"[""Bedroom""]",2,0,"{""bedrooms"": [176, 197], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes""]","{""bedrooms"": [91, 166], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {}}",660,Oldham
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 259}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 150}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1752,Stretford
"[""Living room"", ""Kitchen"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 128, ""Kitchen"": 272, ""Other"": 265}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 254, ""Kitchen"": 99, ""Other"": 143}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Mid-range"", ""Other"": ""Budget-friendly""}}",1580,Oldham
"[""Bathroom"", ""Kitchen"", ""Living room""]",0,2,"{""bedrooms"": [], ""bathrooms"": [16, 76], ""other"": {""Kitchen"": 7, ""Living room"": 34}}","[""Yes"", ""Yes"", ""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [90, 44], ""other"": {""Kitchen"": 91, ""Living room"": 124}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Budget-friendly""], ""other"": {""Kitchen"": ""Budget-friendly"", ""Living room"": ""High-end""}}",1201,Cheadle
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 216}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 164}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end""}}",1375,Chorlton
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 205, ""Kitchen"": 281}}","[""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 244, ""Kitchen"": 259}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Kitchen"": ""Budget-friendly""}}",2207,Altrincham
"[""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [46], ""other"": {}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [73], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {}}",1786,Cheadle
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 51}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 85}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1407,Bury
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 105}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 175}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",746,Manchester City Centre
"[""Bedroom""]",1,0,"{""bedrooms"": [18], ""bathrooms"": [], ""other"": {}}","[""Yes""]","{""bedrooms"": [141], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {}}",835,Stretford
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 150}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 93}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",452,Salford
"[""Kitchen"", ""Living room"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 247, ""Living room"": 5, ""Other"": 221}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 123, ""Living room"": 278, ""Other"": 127}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range"", ""Living room"": ""Mid-range"", ""Other"": ""High-end""}}",1236,Chorlton
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 237}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 198}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end""}}",986,Trafford
"[""Kitchen"", ""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [13], ""other"": {""Kitchen"": 154}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [56], ""other"": {""Kitchen"": 274}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Kitchen"": ""Mid-range""}}",894,Sale
"[""Other"", ""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 107, ""Living room"": 174}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 120, ""Living room"": 121}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly"", ""Living room"": ""Budget-friendly""}}",750,Stretford
"[""Living room"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 180, ""Other"": 155}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 217, ""Other"": 238}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Other"": ""Mid-range""}}",1197,Levenshulme
"[""Bedroom"", ""Kitchen""]",1,0,"{""bedrooms"": [79], ""bathrooms"": [], ""other"": {""Kitchen"": 70}}","[""Yes"", ""Yes""]","{""bedrooms"": [113], ""bathrooms"": [], ""other"": {""Kitchen"": 152}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",1474,Trafford
"[""Bedroom""]",3,0,"{""bedrooms"": [199, 150, 20], ""bathrooms"": [], ""other"": {}}","[""No"", ""No"", ""Yes""]","{""bedrooms"": [138, 100, 176], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {}}",1064,Didsbury
"[""Kitchen"", ""Living room"", ""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [12, 28], ""other"": {""Kitchen"": 58, ""Living room"": 7}}","[""Yes"", ""Yes"", ""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [72, 83], ""other"": {""Kitchen"": 280, ""Living room"": 84}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""High-end""], ""other"": {""Kitchen"": ""Budget-friendly"", ""Living room"": ""Mid-range""}}",1001,Rochdale
"[""Living room"", ""Bedroom"", ""Bathroom""]",2,2,"{""bedrooms"": [118, 70], ""bathrooms"": [54, 75], ""other"": {""Living room"": 61}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [82, 178], ""bathrooms"": [45, 57], ""other"": {""Living room"": 95}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [""Mid-range"", ""Mid-range""], ""other"": {""Living room"": ""Mid-range""}}",1081,Prestwich
"[""Bedroom"", ""Other""]",2,0,"{""bedrooms"": [199, 90], ""bathrooms"": [], ""other"": {""Other"": 119}}","[""Yes"", ""No"", ""No""]","{""bedrooms"": [101, 137], ""bathrooms"": [], ""other"": {""Other"": 146}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Other"": ""High-end""}}",1675,Wigan
"[""Bedroom"", ""Bathroom""]",2,1,"{""bedrooms"": [155, 18], ""bathrooms"": [21], ""other"": {}}","[""Yes"", ""No"", ""Yes""]","{""bedrooms"": [190, 101], ""bathrooms"": [88], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Mid-range""], ""bathrooms"": [""Mid-range""], ""other"": {}}",1306,Sale
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [45, 33, 40], ""other"": {}}","[""Yes"", ""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [38, 49, 60], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Mid-range"", ""High-end""], ""other"": {}}",1043,Sale
"[""Kitchen"", ""Other"", ""Bedroom""]",2,0,"{""bedrooms"": [6, 82], ""bathrooms"": [], ""other"": {""Kitchen"": 276, ""Other"": 272}}","[""No"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [97, 133], ""bathrooms"": [], ""other"": {""Kitchen"": 298, ""Other"": 194}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range"", ""Other"": ""Mid-range""}}",1904,Cheadle
"[""Bedroom"", ""Living room""]",1,0,"{""bedrooms"": [156], ""bathrooms"": [], ""other"": {""Living room"": 78}}","[""No"", ""Yes""]","{""bedrooms"": [88], ""bathrooms"": [], ""other"": {""Living room"": 192}}","{""bedrooms"": [""High-end""], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",1680,Stockport
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 139}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 169}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1499,Wigan
