renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,location,renovation_cost,pre_renovation_cost
"['Living room', 'Bathroom', 'Kitchen']",0,3,"{'bedrooms': [], 'bathrooms': [21, 20, 1], 'other': {'Living room': 50, 'Kitchen': 111}}","['Yes', 'Yes', 'No', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [42, 65, 75], 'other': {'Living room': 159, 'Kitchen': 298}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Mid-range', 'High-end'], 'other': {'Living room': 'Budget-friendly', 'Kitchen': 'High-end'}}",1095,Wigan,128560.73,172462.5
"['Bedroom', 'Other']",1,0,"{'bedrooms': [48], 'bathrooms': [], 'other': {'Other': 89}}","['Yes', 'Yes']","{'bedrooms': [170], 'bathrooms': [], 'other': {'Other': 109}}","{'bedrooms': ['High-end'], 'bathrooms': [], 'other': {'Other': 'High-end'}}",728,Levenshulme,50032.600000000006,179452.0
['Bedroom'],1,0,"{'bedrooms': [77], 'bathrooms': [], 'other': {}}",['No'],"{'bedrooms': [134], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': [], 'other': {}}",1034,Sale,22961.45,420838.0
"['Kitchen', 'Other', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 172, 'Other': 6, 'Living room': 42}}","['No', 'No', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 109, 'Other': 274, 'Living room': 147}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end', 'Other': 'Mid-range', 'Living room': 'Budget-friendly'}}",1377,Sale,88727.16,382117.5
"['Living room', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 147, 'Kitchen': 9}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 273, 'Kitchen': 246}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range', 'Kitchen': 'Budget-friendly'}}",1496,Bury,51989.05,292468.0
"['Other', 'Bathroom', 'Bedroom']",3,2,"{'bedrooms': [199, 185, 8], 'bathrooms': [71, 54], 'other': {'Other': 0}}","['Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [171, 151, 198], 'bathrooms': [60, 90], 'other': {'Other': 176}}","{'bedrooms': ['Budget-friendly', 'Mid-range', 'Mid-range'], 'bathrooms': ['High-end', 'High-end'], 'other': {'Other': 'High-end'}}",1910,Cheadle,253569.58999999997,587325.0
"['Bedroom', 'Bathroom']",4,2,"{'bedrooms': [130, 25, 110, 104], 'bathrooms': [67, 36], 'other': {}}","['Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [153, 124, 136, 113], 'bathrooms': [88, 56], 'other': {}}","{'bedrooms': ['High-end', 'Budget-friendly', 'Mid-range', 'Budget-friendly'], 'bathrooms': ['Budget-friendly', 'Mid-range'], 'other': {}}",1514,Rochdale,163005.47,215745.0
"['Other', 'Bedroom', 'Living room']",3,0,"{'bedrooms': [169, 115, 4], 'bathrooms': [], 'other': {'Other': 196, 'Living room': 105}}","['Yes', 'Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [100, 143, 107], 'bathrooms': [], 'other': {'Other': 137, 'Living room': 133}}","{'bedrooms': ['High-end', 'High-end', 'High-end'], 'bathrooms': [], 'other': {'Other': 'High-end', 'Living room': 'High-end'}}",1253,Cheadle,156622.76,385297.5
"['Living room', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [14], 'other': {'Living room': 22}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [37], 'other': {'Living room': 251}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Living room': 'High-end'}}",977,Withington,44651.45,312640.0
"['Kitchen', 'Living room', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 300, 'Living room': 18, 'Other': 3}}","['No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 122, 'Living room': 198, 'Other': 198}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end', 'Living room': 'Mid-range', 'Other': 'Budget-friendly'}}",941,Bury,82204.17000000001,162322.5
"['Living room', 'Bathroom']",0,3,"{'bedrooms': [], 'bathrooms': [6, 64, 2], 'other': {'Living room': 253}}","['Yes', 'Yes', 'No', 'No']","{'bedrooms': [], 'bathrooms': [46, 69, 57], 'other': {'Living room': 263}}","{'bedrooms': [], 'bathrooms': ['High-end', 'High-end', 'Mid-range'], 'other': {'Living room': 'Mid-range'}}",1335,Tameside,122688.4,220275.0
['Bathroom'],0,3,"{'bedrooms': [], 'bathrooms': [55, 60, 70], 'other': {}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [70, 82, 35], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Budget-friendly', 'High-end'], 'other': {}}",1562,Stockport,93942.77,304590.0
['Bedroom'],2,0,"{'bedrooms': [99, 54], 'bathrooms': [], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [166, 183], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range', 'High-end'], 'bathrooms': [], 'other': {}}",570,Manchester City Centre,49349.78,169575.0
"['Living room', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 54, 'Other': 3}}","['Yes', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 128, 'Other': 112}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly', 'Other': 'High-end'}}",940,Chorlton,45294.68,319600.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 27}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 85}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",974,Stretford,18680.71,353562.0
"['Kitchen', 'Bedroom', 'Other']",2,0,"{'bedrooms': [181, 45], 'bathrooms': [], 'other': {'Kitchen': 25, 'Other': 90}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [178, 185], 'bathrooms': [], 'other': {'Kitchen': 170, 'Other': 249}}","{'bedrooms': ['Mid-range', 'High-end'], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly', 'Other': 'Budget-friendly'}}",1442,Bury,109195.06,248745.0
"['Kitchen', 'Bathroom', 'Living room']",0,3,"{'bedrooms': [], 'bathrooms': [54, 64, 60], 'other': {'Kitchen': 78, 'Living room': 158}}","['Yes', 'Yes', 'No', 'No', 'Yes']","{'bedrooms': [], 'bathrooms': [85, 55, 64], 'other': {'Kitchen': 294, 'Living room': 92}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Mid-range', 'High-end'], 'other': {'Kitchen': 'Mid-range', 'Living room': 'Mid-range'}}",1756,Trafford,212450.82000000004,513630.0
"['Bedroom', 'Living room', 'Kitchen']",3,0,"{'bedrooms': [195, 114, 139], 'bathrooms': [], 'other': {'Living room': 46, 'Kitchen': 63}}","['No', 'Yes', 'No', 'Yes', 'Yes']","{'bedrooms': [186, 139, 158], 'bathrooms': [], 'other': {'Living room': 277, 'Kitchen': 143}}","{'bedrooms': ['Mid-range', 'Budget-friendly', 'High-end'], 'bathrooms': [], 'other': {'Living room': 'High-end', 'Kitchen': 'High-end'}}",1781,Bolton,210189.66000000003,280507.5
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 68}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 232}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",615,Salford,18680.71,189420.0
"['Bedroom', 'Kitchen']",2,0,"{'bedrooms': [7, 74], 'bathrooms': [], 'other': {'Kitchen': 151}}","['Yes', 'No', 'Yes']","{'bedrooms': [135, 125], 'bathrooms': [], 'other': {'Kitchen': 172}}","{'bedrooms': ['High-end', 'Mid-range'], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",1214,Ashton-under-Lyne,85976.62,195757.5
"['Other', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 114, 'Living room': 289}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 216, 'Living room': 125}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly', 'Living room': 'Budget-friendly'}}",1583,Bolton,54758.6,282565.5
"['Living room', 'Bedroom', 'Kitchen']",2,0,"{'bedrooms': [146, 7], 'bathrooms': [], 'other': {'Living room': 85, 'Kitchen': 294}}","['Yes', 'Yes', 'Yes', 'No']","{'bedrooms': [89, 97], 'bathrooms': [], 'other': {'Living room': 81, 'Kitchen': 235}}","{'bedrooms': ['Mid-range', 'Budget-friendly'], 'bathrooms': [], 'other': {'Living room': 'High-end', 'Kitchen': 'Budget-friendly'}}",1218,Tameside,112780.24,200970.0
"['Kitchen', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 109, 'Other': 193}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 138, 'Other': 114}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end', 'Other': 'High-end'}}",1671,Altrincham,92440.36,526365.0
['Bedroom'],4,0,"{'bedrooms': [193, 12, 85, 146], 'bathrooms': [], 'other': {}}","['Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [190, 92, 127, 161], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Budget-friendly', 'Mid-range', 'Mid-range', 'Budget-friendly'], 'bathrooms': [], 'other': {}}",1078,Chorlton,95502.83,323400.0
"['Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 37, 'Living room': 167}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 149, 'Living room': 172}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end', 'Living room': 'Mid-range'}}",700,Withington,54447.09,190400.0
"['Bathroom', 'Other']",0,1,"{'bedrooms': [], 'bathrooms': [0], 'other': {'Other': 260}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [82], 'other': {'Other': 294}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Other': 'Budget-friendly'}}",1710,Wigan,81641.36,269325.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 294}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 132}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1519,Trafford,30949.17,592410.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 97}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 139}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",458,Salford,22224.43,141064.0
"['Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 209, 'Living room': 173}}","['No', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 270, 'Living room': 179}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly', 'Living room': 'Budget-friendly'}}",1009,Rochdale,49031.86,162953.5
"['Kitchen', 'Bedroom']",3,0,"{'bedrooms': [82, 22, 5], 'bathrooms': [], 'other': {'Kitchen': 86}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [172, 122, 166], 'bathrooms': [], 'other': {'Kitchen': 154}}","{'bedrooms': ['High-end', 'Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",970,Ashton-under-Lyne,103336.87,156412.5
['Bedroom'],1,0,"{'bedrooms': [13], 'bathrooms': [], 'other': {}}",['Yes'],"{'bedrooms': [175], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {}}",1205,Trafford,26352.48,469950.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 225}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 240}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",847,Salford,23150.35,260876.0
"['Bedroom', 'Bathroom', 'Living room']",1,1,"{'bedrooms': [160], 'bathrooms': [22], 'other': {'Living room': 172}}","['Yes', 'No', 'Yes']","{'bedrooms': [117], 'bathrooms': [96], 'other': {'Living room': 198}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': ['High-end'], 'other': {'Living room': 'Mid-range'}}",1394,Stockport,87107.23,271830.0
"['Bathroom', 'Bedroom', 'Other']",2,3,"{'bedrooms': [162, 90], 'bathrooms': [0, 65, 45], 'other': {'Other': 41}}","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [95, 132], 'bathrooms': [65, 57, 69], 'other': {'Other': 244}}","{'bedrooms': ['Budget-friendly', 'Budget-friendly'], 'bathrooms': ['Budget-friendly', 'Mid-range', 'High-end'], 'other': {'Other': 'Mid-range'}}",1383,Rochdale,160499.19,197077.5
"['Bathroom', 'Living room', 'Kitchen']",0,1,"{'bedrooms': [], 'bathrooms': [37], 'other': {'Living room': 34, 'Kitchen': 175}}","['No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [85], 'other': {'Living room': 249, 'Kitchen': 117}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {'Living room': 'High-end', 'Kitchen': 'Mid-range'}}",711,Prestwich,75429.0,159975.0
"['Bedroom', 'Kitchen']",1,0,"{'bedrooms': [4], 'bathrooms': [], 'other': {'Kitchen': 23}}","['Yes', 'Yes']","{'bedrooms': [161], 'bathrooms': [], 'other': {'Kitchen': 188}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",1149,Prestwich,53020.57,292995.0
['Bathroom'],0,3,"{'bedrooms': [], 'bathrooms': [44, 80, 65], 'other': {}}","['No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [79, 73, 68], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end', 'High-end', 'High-end'], 'other': {}}",1062,Prestwich,76532.76,238950.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 72}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 265}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",885,Bolton,30411.06,185850.0
"['Kitchen', 'Other', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [7], 'other': {'Kitchen': 161, 'Other': 232}}","['Yes', 'No', 'Yes']","{'bedrooms': [], 'bathrooms': [75], 'other': {'Kitchen': 201, 'Other': 137}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {'Kitchen': 'Mid-range', 'Other': 'Budget-friendly'}}",926,Prestwich,72137.33,208350.0
"['Bathroom', 'Kitchen']",0,2,"{'bedrooms': [], 'bathrooms': [43, 40], 'other': {'Kitchen': 195}}","['No', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [87, 41], 'other': {'Kitchen': 214}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Budget-friendly'], 'other': {'Kitchen': 'Budget-friendly'}}",1098,Altrincham,70441.0,345870.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 108}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 179}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",1318,Altrincham,34563.3,553560.0
"['Kitchen', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 88, 'Other': 2}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 168, 'Other': 108}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end', 'Other': 'Budget-friendly'}}",1158,Withington,58593.600000000006,314976.0
"['Living room', 'Other', 'Bedroom']",4,0,"{'bedrooms': [113, 124, 126, 114], 'bathrooms': [], 'other': {'Living room': 251, 'Other': 79}}","['Yes', 'Yes', 'No', 'No', 'Yes', 'Yes']","{'bedrooms': [131, 100, 199, 129], 'bathrooms': [], 'other': {'Living room': 193, 'Other': 154}}","{'bedrooms': ['Budget-friendly', 'Budget-friendly', 'Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {'Living room': 'High-end', 'Other': 'Mid-range'}}",2130,Altrincham,235868.54,670950.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 285}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 175}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",2167,Altrincham,42684.17,910140.0
"['Living room', 'Other', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [32], 'other': {'Living room': 298, 'Other': 169}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [53], 'other': {'Living room': 223, 'Other': 273}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {'Living room': 'Budget-friendly', 'Other': 'Budget-friendly'}}",1304,Trafford,88396.36,381420.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 232}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 102}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",663,Salford,28580.62,185640.0
"['Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 155, 'Living room': 236}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 241, 'Living room': 105}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end', 'Living room': 'Budget-friendly'}}",762,Ashton-under-Lyne,57288.740000000005,139255.5
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 218}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 253}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",921,Cheadle,23596.8,415371.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 128}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 118}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end'}}",1550,Bolton,31305.76,325500.0
['Bedroom'],4,0,"{'bedrooms': [155, 130, 9, 11], 'bathrooms': [], 'other': {}}","['Yes', 'Yes', 'No', 'No']","{'bedrooms': [98, 162, 114, 133], 'bathrooms': [], 'other': {}}","{'bedrooms': ['High-end', 'Budget-friendly', 'Budget-friendly', 'High-end'], 'bathrooms': [], 'other': {}}",1297,Bury,115333.17,223732.5
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 171}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 232}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end'}}",941,Stretford,26174.42,310530.0
"['Bathroom', 'Other']",0,2,"{'bedrooms': [], 'bathrooms': [17, 69], 'other': {'Other': 70}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [63, 69], 'other': {'Other': 112}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'High-end'], 'other': {'Other': 'Budget-friendly'}}",935,Ashton-under-Lyne,62872.34,170871.25
"['Bathroom', 'Kitchen']",0,2,"{'bedrooms': [], 'bathrooms': [54, 66], 'other': {'Kitchen': 134}}","['No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [38, 78], 'other': {'Kitchen': 272}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'High-end'], 'other': {'Kitchen': 'Mid-range'}}",1727,Altrincham,122935.49,544005.0
"['Kitchen', 'Other', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 142, 'Other': 46, 'Living room': 31}}","['Yes', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 230, 'Other': 199, 'Living room': 102}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly', 'Other': 'Mid-range', 'Living room': 'Budget-friendly'}}",1409,Tameside,76067.36,232485.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 60}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 92}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end'}}",2211,Cheadle,42462.77,906510.0
"['Bathroom', 'Kitchen', 'Bedroom']",1,2,"{'bedrooms': [151], 'bathrooms': [77, 43], 'other': {'Kitchen': 220}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [193], 'bathrooms': [99, 51], 'other': {'Kitchen': 128}}","{'bedrooms': ['High-end'], 'bathrooms': ['High-end', 'Mid-range'], 'other': {'Kitchen': 'High-end'}}",1226,Stockport,131375.63,239070.0
['Bedroom'],2,0,"{'bedrooms': [80, 188], 'bathrooms': [], 'other': {}}","['Yes', 'No']","{'bedrooms': [131, 108], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {}}",951,Prestwich,47224.880000000005,242505.0
"['Bathroom', 'Kitchen', 'Other']",0,3,"{'bedrooms': [], 'bathrooms': [56, 77, 70], 'other': {'Kitchen': 130, 'Other': 237}}","['Yes', 'Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [], 'bathrooms': [93, 74, 97], 'other': {'Kitchen': 180, 'Other': 130}}","{'bedrooms': [], 'bathrooms': ['High-end', 'High-end', 'High-end'], 'other': {'Kitchen': 'High-end', 'Other': 'High-end'}}",1540,Bury,176106.33000000002,265650.0
"['Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 243, 'Living room': 2}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 172, 'Living room': 296}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly', 'Living room': 'Budget-friendly'}}",1319,Stretford,52595.44,369979.5
"['Other', 'Bathroom', 'Living room']",0,1,"{'bedrooms': [], 'bathrooms': [24], 'other': {'Other': 205, 'Living room': 107}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [60], 'other': {'Other': 141, 'Living room': 264}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Other': 'High-end', 'Living room': 'High-end'}}",801,Chorlton,70835.89,240300.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 40}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 295}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",421,Salford,20377.63,129668.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 47}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 297}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",678,Levenshulme,22224.43,216282.0
"['Bedroom', 'Living room']",2,0,"{'bedrooms': [18, 48], 'bathrooms': [], 'other': {'Living room': 143}}","['No', 'No', 'Yes']","{'bedrooms': [181, 163], 'bathrooms': [], 'other': {'Living room': 174}}","{'bedrooms': ['High-end', 'Budget-friendly'], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly'}}",1052,Trafford,74172.76000000001,307710.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 297}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 141}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",853,Oldham,25394.94,170600.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 144}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 288}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end'}}",986,Altrincham,25970.74,414120.0
"['Bathroom', 'Other']",0,2,"{'bedrooms': [], 'bathrooms': [78, 10], 'other': {'Other': 152}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [36, 43], 'other': {'Other': 174}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'Mid-range'], 'other': {'Other': 'High-end'}}",1114,Trafford,84269.03,325845.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 164}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 202}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1336,Didsbury,27803.66,561120.0
"['Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 268, 'Living room': 226}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 136, 'Living room': 165}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range', 'Living room': 'Budget-friendly'}}",1427,Bolton,59446.83,254719.5
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 49}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 219}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1626,Stretford,39364.71,536580.0
"['Bathroom', 'Other']",0,3,"{'bedrooms': [], 'bathrooms': [31, 34, 36], 'other': {'Other': 266}}","['Yes', 'Yes', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [98, 73, 88], 'other': {'Other': 173}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Mid-range', 'High-end'], 'other': {'Other': 'Budget-friendly'}}",1348,Stockport,120612.02,262860.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 6}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 80}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1080,Sale,23796.42,439560.0
"['Bedroom', 'Other']",1,0,"{'bedrooms': [39], 'bathrooms': [], 'other': {'Other': 59}}","['Yes', 'Yes']","{'bedrooms': [125], 'bathrooms': [], 'other': {'Other': 126}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': [], 'other': {'Other': 'High-end'}}",1029,Wigan,47972.29,183676.5
"['Kitchen', 'Bathroom', 'Other']",0,2,"{'bedrooms': [], 'bathrooms': [19, 59], 'other': {'Kitchen': 35, 'Other': 8}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [47, 49], 'other': {'Kitchen': 107, 'Other': 147}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'Budget-friendly'], 'other': {'Kitchen': 'Budget-friendly', 'Other': 'Budget-friendly'}}",1346,Chorlton,100680.23,403800.0
